id,run,richness,links,connectance,diameter,distance,basal,top,intermediate,predpreyRatio,herbivory,omnivory,cannibal,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,centrality,loops,intervals,MaxSim,Clust,trophicCoherence,trophicVar
2,1,102,681,0.0654555940023068,6.0,2.0,0.17647058823529413,0.0392156862745098,0.7843137254901961,1.1666666666666667,0.0392156862745098,0.7058823529411765,0.10784313725490197,6.676470588235294,1.2713009556458368,0.7262101609190591,2.8652966302813003,10.525282843276752,2.021953517351559,13.161730233724331,1.4563318777292575,1.311594269804337,0.21616685890042292,0.09525182622068436,0.19338715878508267,0.4122452902729719,0.009803921568627453,0.12745098039215685,0.0,0.6116574349021564,0.31904185750814407,0.8615469694052691,1.4058811033806744
2,2,102,554,0.05324875048058439,4.0,3.0,0.20588235294117646,0.06862745098039216,0.7254901960784313,1.1728395061728396,0.058823529411764705,0.6666666666666666,0.049019607843137254,5.431372549019608,1.1404248507175532,0.8284731889650607,2.722907196405375,7.897912299342389,2.143548142563037,10.458033366991662,1.046875,1.144309077549181,0.1432141484044598,0.04402153018069973,0.16830065359477125,0.25403690888119956,0.009803921568627453,0.049019607843137254,0.0,0.6209910389692309,0.2025997425792994,0.7955032366283512,1.1776586685490804
2,3,102,639,0.061418685121107264,5.0,2.0,0.08823529411764706,0.09803921568627451,0.8137254901960784,0.989247311827957,0.029411764705882353,0.696078431372549,0.058823529411764705,6.264705882352941,1.1764154171248753,0.6952159249827478,3.952289113730275,9.359175244563193,2.2025035758998586,11.450443494348903,1.0452488687782806,1.0948382481056167,0.19530949634755862,0.05517108804306036,0.19434832756632064,0.36639753940792,0.00980392156862745,0.058823529411764705,0.0,0.5975177873364569,0.2247148185199551,1.1019867686167646,2.0508858261188956
2,4,102,743,0.07141484044598231,4.0,2.0,0.1568627450980392,0.06862745098039216,0.7745098039215687,1.1046511627906976,0.09803921568627451,0.6764705882352942,0.06862745098039216,7.284313725490196,1.1984074483408556,0.6243015485365188,2.8419469112179567,7.2737636799131895,1.6670162667868076,11.92592213949374,1.0707070707070707,1.1058273398651293,0.26547481737793155,0.08996539792387544,0.2299115724721261,0.49836601307189543,0.009803921568627449,0.06862745098039216,0.0,0.6502885131146248,0.25203087339725594,0.7298003792954652,1.1797888755355954
2,5,102,671,0.06449442522106882,6.0,3.0,0.18627450980392157,0.0,0.8137254901960784,1.2289156626506024,0.06862745098039216,0.6666666666666666,0.09803921568627451,6.578431372549019,1.1277434753649018,0.6350785174105354,2.8743964015802317,NaN,NaN,0.0,1.2093301435406698,1.1013424297680114,0.2501922337562476,0.05670895809304114,0.19905805459438677,0.37014609765474815,0.009803921568627449,0.10784313725490197,0.0,0.658264552985645,0.2725516965458993,0.9174600026063547,1.3185685472749584
2,6,102,762,0.07324106113033449,5.0,2.0,0.14705882352941177,0.0,0.8529411764705882,1.1724137931034482,0.058823529411764705,0.696078431372549,0.09803921568627451,7.470588235294118,1.091655227577608,0.6389717798007609,2.987336327852562,NaN,NaN,0.0,1.0939759036144578,0.9796313672626392,0.2820069204152249,0.07785467128027682,0.26095732410611305,0.4752979623221838,0.009803921568627449,0.09803921568627451,0.0,0.6516047198348818,0.25011325503365484,0.8989335964726264,1.3603189750752651
2,7,102,620,0.059592464436755095,6.0,2.0,0.20588235294117646,0.18627450980392157,0.6078431372549019,1.0246913580246915,0.10784313725490197,0.6078431372549019,0.049019607843137254,6.078431372549019,1.293887442213794,0.6372465651545801,2.729909544279267,8.374386044641765,2.0856861397158286,12.053113755239552,1.0128410914927768,1.2212712376796386,0.1922337562475971,0.058823529411764705,0.16080353710111495,0.3890811226451365,0.00980392156862745,0.049019607843137254,0.0,0.6370692955348062,0.20352453949187263,0.8072254260877305,1.2585008096360388
2,8,102,662,0.06362937331795464,5.0,3.0,0.1568627450980392,0.13725490196078433,0.7058823529411765,1.0232558139534884,0.08823529411764706,0.6470588235294118,0.08823529411764706,6.490196078431373,1.2405632848416586,0.5881121908515922,3.2759737932031148,10.099932119643075,2.286062935468122,13.135820423824242,1.1733505821474774,1.1794027628815595,0.20569011918492888,0.07823913879277201,0.15292195309496348,0.3882160707420223,0.00980392156862745,0.09803921568627451,0.0,0.6282163005465219,0.26222423844252124,1.0505483451814992,1.9619724794525717
2,9,102,745,0.0716070742022299,5.0,2.0,0.23529411764705882,0.0392156862745098,0.7254901960784313,1.2564102564102564,0.058823529411764705,0.6666666666666666,0.08823529411764706,7.303921568627451,1.1360236975676186,0.6575395505630602,2.5343197620910383,7.116251302947029,1.6517847134279082,10.87360337110519,1.2702418506834912,1.060999335032832,0.27316416762783546,0.0726643598615917,0.2546136101499423,0.4646289888504421,0.00980392156862745,0.08823529411764706,0.0,0.6498113555606414,0.2767553613250115,0.8248949367073859,1.1191374775339593
2,10,102,687,0.06603229527104959,4.0,2.0,0.17647058823529413,0.058823529411764705,0.7647058823529411,1.1428571428571428,0.1568627450980392,0.5588235294117647,0.06862745098039216,6.735294117647059,1.1660620071857826,0.5953277077185365,2.774577241489233,6.6704302607209005,1.4680144658815242,10.242670397850311,1.1981132075471699,1.178782794581841,0.28210303729334874,0.07314494425221069,0.18608227604767397,0.39965397923875434,0.009803921568627453,0.06862745098039216,0.0,0.6151088648591496,0.260358603135857,0.7600555812864841,1.231297495357898
