id,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
102,29,65,0.07728894173602854,6,0.9326980170089368,1.0,3.0,6.0,1.6616509091389697,2.4735049223693135,74.0,23.0,103.0,56.0
103,19,51,0.14127423822714683,13,0.9370589883175356,1.0,2.0,2.0,2.001461454341895,1.7337381443621682,95.0,30.0,40.0,49.0
1280,14,79,0.4030612244897959,9,0.8039318284585195,1.0,3.0,2.0,3.95371573736253,3.248837492849566,37.0,50.0,16.0,28.0
2463,50,257,0.1028,49,0.838964507526264,2.0,26.0,0.0,6.925286408281948,4.615899761936442,154.0,17.0,848.0,965.0
2464,50,246,0.0984,34,0.835362191635649,2.0,28.0,1.0,7.558857488444418,4.667910427064988,0.0,30.0,872.0,1330.0
924,15,26,0.11555555555555555,5,0.95142121479341,1.0,3.0,2.0,1.533747356112131,1.6676187756655838,27.0,0.0,29.0,26.0
1102,23,137,0.2589792060491493,17,0.8146920273767423,3.0,8.0,4.0,5.094366414968644,5.628484866927618,20.0,104.0,326.0,274.0
890,14,25,0.12755102040816327,4,0.9456683127352359,1.0,1.0,4.0,1.05090228108783,1.672334684416758,26.0,2.0,26.0,15.0
1115,26,66,0.09763313609467456,15,0.8954420591956201,1.0,10.0,5.0,2.6867194752079233,2.0828973902863144,112.0,16.0,89.0,125.0
1454,31,106,0.11030176899063475,11,0.8692745917865031,1.0,4.0,13.0,2.377312117334576,3.98140840698688,217.0,6.0,360.0,207.0
1456,47,150,0.06790402897238569,25,0.8841091482442536,4.0,9.0,11.0,3.4112237882584036,3.820074537585681,215.0,7.0,493.0,425.0
1457,56,150,0.04783163265306122,32,0.9103225180989967,3.0,16.0,11.0,3.2311390778268487,3.087259113059484,244.0,30.0,358.0,383.0
1455,17,33,0.11418685121107267,7,0.8921397015590888,2.0,4.0,7.0,1.712840777600698,2.1642142984029484,43.0,9.0,44.0,30.0
1468,8,25,0.390625,7,0.8585457313262378,2.0,2.0,0.0,2.1671244937540095,1.3562026818605375,0.0,2.0,0.0,2.0
1469,6,7,0.19444444444444445,4,0.8685893832533697,3.0,3.0,2.0,1.4719601443879746,0.983192080250175,2.0,0.0,3.0,6.0
1475,16,42,0.1640625,15,0.8742568157984866,3.0,5.0,1.0,3.052321520853704,2.753785273643051,18.0,12.0,79.0,92.0
1493,9,13,0.16049382716049382,5,0.961953230514878,3.0,1.0,2.0,1.2360330811826106,1.509230856356236,7.0,2.0,10.0,7.0
1511,17,32,0.11072664359861592,10,0.9038429870617903,3.0,3.0,4.0,2.057983021710106,1.8331105033922692,33.0,1.0,40.0,47.0
1518,17,51,0.17647058823529413,11,0.8603747838030719,2.0,8.0,1.0,3.905124837953327,1.620185174601965,52.0,50.0,22.0,123.0
1520,22,48,0.09917355371900827,7,0.9190599667145141,2.0,6.0,4.0,1.8162327215148666,2.1960215897187405,63.0,5.0,74.0,58.0
1591,7,8,0.16326530612244897,3,0.9870558585867127,3.0,1.0,2.0,0.6900655593423541,1.3451854182690988,4.0,0.0,6.0,2.0
1596,22,75,0.15495867768595042,20,0.8850496434981326,3.0,8.0,2.0,3.660068837618207,2.0391195791342542,137.0,41.0,93.0,190.0
1678,24,72,0.125,12,0.852855816123145,2.0,16.0,8.0,4.539680126636007,2.4847360108225303,0.0,0.0,143.0,309.0
1443,19,22,0.060941828254847646,18,0.8044492778471217,2.0,15.0,1.0,4.113165284178447,0.7647191129018727,0.0,4.0,3.0,150.0
